round_epochs,val_loss,val_f1,val_categorical_accuracy,loss,f1,categorical_accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,batch_size,model_type
4,0.566318606376648,0.8114174718856811,0.81475,0.23301610878109932,0.8569716288021633,0.9262857142857143,False,128,tanh,0.2,1,funnel,4,32,keras_tf_idf_model
4,0.7421657989025116,0.4070440118312836,0.785,1.2224614592279706,0.34247770799057825,0.5751785714285714,False,64,relu,0.6,1,funnel,4,32,keras_tf_idf_model
7,0.5802276620864868,0.7018221220970153,0.8225,0.3360550206388746,0.7222117063658579,0.8942857142857142,False,64,relu,0.2,1,funnel,7,64,keras_tf_idf_model
7,0.543024685382843,0.7696883325576782,0.83225,0.16505482713665282,0.8241008076667785,0.9558214285714286,False,64,tanh,0.2,0,funnel,7,32,keras_tf_idf_model
5,0.5347798705101013,0.6352120466232299,0.8305,0.37722907308169773,0.7324708462442671,0.8906071428571428,False,64,relu,0.2,0,funnel,5,64,keras_tf_idf_model
7,0.5473111219406128,0.7595100102424621,0.8265,0.15372768250533514,0.8242626773970467,0.9618571428571429,False,128,tanh,0.2,0,funnel,7,64,keras_tf_idf_model
4,0.6345051908493042,0.7226513156890869,0.80475,0.9660330519676209,0.5448173192398889,0.6860714285714286,False,128,tanh,0.6,2,funnel,4,32,keras_tf_idf_model
4,0.849521650314331,0.37598063015937805,0.73875,1.4874730221884591,0.3547367069678647,0.4790714285714286,False,64,tanh,0.6,2,funnel,4,32,keras_tf_idf_model
5,0.5828175917863846,0.7741848802566529,0.8225,0.36977578215088164,0.7782660151890346,0.8833214285714286,False,64,relu,0.2,1,funnel,5,32,keras_tf_idf_model
5,0.6459118332862854,0.7333068084716797,0.808,0.4431450538294656,0.753472234249115,0.8661785714285715,False,64,tanh,0.2,2,funnel,5,64,keras_tf_idf_model
4,0.5662491726875305,0.754769721031189,0.8205,0.5284754505498068,0.7488966480663845,0.8363214285714285,False,128,tanh,0.6,1,funnel,4,64,keras_tf_idf_model
7,1.2461827125549316,0.13168642359972,0.58925,1.713356738771711,0.1747518729695252,0.3673571428571429,False,64,relu,0.6,2,funnel,7,64,keras_tf_idf_model
7,0.5301437711715699,0.4539249677658081,0.83275,0.5205621438707624,0.554872877734048,0.8501785714285715,False,64,relu,0.6,0,funnel,7,64,keras_tf_idf_model
5,0.5616722402572631,0.7897453684806823,0.8175,0.26055464329038347,0.8153143902506147,0.9167857142857143,False,128,relu,0.2,1,funnel,5,64,keras_tf_idf_model
7,0.5341824930906296,0.7479948544502258,0.83225,0.2092562412278993,0.7994965967450823,0.9413928571428571,False,64,relu,0.2,0,funnel,7,32,keras_tf_idf_model
5,0.5445901868343354,0.807281343460083,0.82725,0.18029114497559412,0.8512558304922921,0.95125,False,128,tanh,0.2,0,funnel,5,32,keras_tf_idf_model
7,0.5333513128757477,0.632069088935852,0.834,0.4461724103093147,0.6610724103791373,0.8661428571428571,False,64,relu,0.6,0,funnel,7,32,keras_tf_idf_model
5,0.5694047222137452,0.7003528599739075,0.8195,0.43161183180127827,0.7267198944091797,0.8647142857142858,False,64,relu,0.2,1,funnel,5,64,keras_tf_idf_model
7,0.603368185043335,0.7766292843818664,0.81375,0.25786216274329593,0.7687585431507655,0.9178214285714286,False,128,relu,0.2,2,funnel,7,64,keras_tf_idf_model
7,0.569165977358818,0.7904990410804749,0.82475,0.4222594279221126,0.7680580280167716,0.8640714285714286,False,128,tanh,0.6,1,funnel,7,32,keras_tf_idf_model
5,1.2758186235427857,0.1624515051841736,0.6745,1.9311820515223912,0.1733708541563579,0.34910714285714284,False,64,relu,0.6,2,funnel,5,64,keras_tf_idf_model
4,0.575259271144867,0.7014112477302551,0.82125,0.49707130135808675,0.7248560802595956,0.8470714285714286,False,64,relu,0.2,1,funnel,4,64,keras_tf_idf_model
5,0.5713530106544494,0.8019758677482605,0.81625,0.20479625264235904,0.846455783367157,0.9380714285714286,False,128,tanh,0.2,1,funnel,5,64,keras_tf_idf_model
4,1.3335131235122681,0.1549395172595978,0.64075,1.9406930501120432,nan,0.33285714285714285,False,64,relu,0.6,2,funnel,4,64,keras_tf_idf_model
7,0.6444036695957184,0.7136266241073609,0.805,0.42898204547166824,0.6580600971153804,0.8610714285714286,False,64,relu,0.2,2,funnel,7,32,keras_tf_idf_model
4,0.558314706325531,0.8026988692283631,0.8215,0.2607680585554668,0.8453030122348241,0.9188928571428572,False,128,tanh,0.2,1,funnel,4,64,keras_tf_idf_model
5,0.573108686208725,0.8002072296142578,0.817,0.2737036831974983,0.826852509021759,0.9142142857142858,False,64,tanh,0.2,1,funnel,5,32,keras_tf_idf_model
7,0.6294966349601746,0.7532271695137024,0.80825,0.3732805638994489,0.7636433065959386,0.8876071428571428,False,64,tanh,0.2,2,funnel,7,64,keras_tf_idf_model
